dataset,model,cal_size,test_size,CDF-Spline_brier,CDF-Spline_logloss,CDF-Spline_kuiper,CDF-Spline_ece-15,CDF-Spline_accuracy,CDF-Spline_time
pc2,ExtraTrees,5030,559,0.006583858989774454,0.014854498484275357,0.003584113670513034,0.002788659418001771,0.9964221715927124,0.024027113104239106
pc2,LightGBM,5030,559,0.006503596453267422,,0.002997051225975156,4.2725587263703346e-05,0.9964221715927124,0.024682071059942245
pc2,LinearModel,5030,559,0.006503867777095962,0.014040250052590584,0.0030257778707891703,0.00188323890324682,0.9964221715927124,0.024395799031481147
pc2,NeuralNetFastAI,5030,559,0.0066855026438092284,,0.0034206139389425516,0.0007125682313926518,0.9964221715927124,0.024058023001998663
pc2,NeuralNetTorch,5030,559,0.006705195889094848,,0.0033473127987235785,0.0007196263177320361,0.9964221715927124,0.024604497011750937
pc2,RandomForest,5030,559,0.00661675093329392,0.014997977124302836,0.003916403278708458,0.003395818406715989,0.9964221715927124,0.024497102946043015
pc2,XGBoost,5030,559,0.005392447543652238,,0.002804978284984827,0.00539506645873189,0.9964221715927124,0.024635319132357836
pc3,CatBoost,1406,157,0.17382892617176043,0.27505964476373873,0.04168257117271423,0.07674670219421387,0.8789808750152588,0.007381019880995154
pc3,ExtraTrees,1406,157,0.1633197172746554,0.2608663949785622,0.03372371569275856,0.05780189856886864,0.8980891704559326,0.007351446896791458
pc3,LightGBM,1406,157,0.17509790572869127,0.28317721244697863,0.03477412089705467,0.06743087619543076,0.8853503465652466,0.007374715059995651
pc3,LinearModel,1406,157,0.2018954959030117,,0.0501028448343277,0.11868941783905029,0.8789808750152588,0.007422041846439242
pc3,NeuralNetFastAI,1406,157,0.18762658605432275,,0.04888760671019554,0.08188910037279129,0.8726114630699158,0.007326589897274971
pc3,NeuralNetTorch,1406,157,0.18438058974408955,0.31359920912437594,0.04660206660628319,0.07567523419857025,0.8980891704559326,0.007354772882536054
pc3,RandomForest,1406,157,0.1689449664529488,0.2755795929740123,0.031123556196689606,0.05617890506982803,0.8853503465652466,0.0073818638920784
pc3,XGBoost,1406,157,0.1884511839637769,0.3000696578732115,0.047152936458587646,0.06528233736753464,0.8662420511245728,0.007368984865024686
pc4,CatBoost,1312,146,0.11992896555650728,,0.03634488582611084,0.06022683158516884,0.9041095972061157,0.0069599878042936325
pc4,ExtraTrees,1312,146,0.12331090674091708,,0.02148253098130226,0.04939562827348709,0.8972602486610413,0.006890927907079458
pc4,LightGBM,1312,146,0.12069028813421295,,0.02859361842274666,0.06280142068862915,0.9109588861465454,0.006880615837872028
pc4,LinearModel,1312,146,0.11871579079332732,,0.04325871169567108,0.06654787808656693,0.9109588861465454,0.006926847156137228
pc4,NeuralNetFastAI,1312,146,0.11885764619501124,,0.032944053411483765,0.06272096186876297,0.9246575236320496,0.006915365112945437
pc4,NeuralNetTorch,1312,146,0.1343369473351887,0.21782672017445934,0.031775880604982376,0.05862904340028763,0.9109588861465454,0.006871792022138834
pc4,RandomForest,1312,146,0.12311582867586007,,0.028580453246831894,0.055645860731601715,0.9041095972061157,0.007034069858491421
pc4,XGBoost,1312,146,0.13126550510794407,,0.038019124418497086,0.048676371574401855,0.8972602486610413,0.006987919099628925
philippine,CatBoost,5248,584,0.3166918386537578,,0.017578013241291046,0.04890910163521767,0.767123281955719,0.025757288094609976
philippine,ExtraTrees,5248,584,0.31555184528272895,,0.01584794372320175,0.029984518885612488,0.7636986374855042,0.02547955117188394
philippine,LightGBM,5248,584,0.30050099995765744,,0.015167534351348877,0.03399725258350372,0.7756849527359009,0.025168087100610137
philippine,LinearModel,5248,584,0.3731054042190162,0.5552569893001356,0.02102496288716793,0.06618175655603409,0.7208904027938843,0.024927987018600106
philippine,NeuralNetFastAI,5248,584,0.36695895681074614,0.5425380409075969,0.028004854917526245,0.05758746713399887,0.7414383292198181,0.025554917054250836
philippine,NeuralNetTorch,5248,584,0.36576256874290647,0.54562029575444,0.03088384121656418,0.049145620316267014,0.7311643958091736,0.02536554099060595
philippine,RandomForest,5248,584,0.3213343583875581,,0.016283392906188965,0.0450974777340889,0.7619863152503967,0.025011434918269515
philippine,XGBoost,5248,584,0.29943457120059935,,0.020956426858901978,0.043343305587768555,0.7825342416763306,0.02491997112520039
phoneme,CatBoost,4863,541,0.13517778077188947,,0.014380041509866714,0.0418117493391037,0.8964880108833313,0.02317827194929123
phoneme,ExtraTrees,4863,541,0.12412060426839965,,0.010557396337389946,0.033589139580726624,0.9094269871711731,0.02336709783412516
phoneme,LightGBM,4863,541,0.13276334100392356,,0.012709731236100197,0.034084975719451904,0.9075785875320435,0.02295679203234613
phoneme,LinearModel,4863,541,0.328659012488069,,0.029972389340400696,0.0656479075551033,0.7504621148109436,0.0232901768758893
phoneme,NeuralNetFastAI,4863,541,0.15664911961692105,0.2518961566909775,0.01766560785472393,0.034662846475839615,0.8853974342346191,0.023737336043268442
phoneme,NeuralNetTorch,4863,541,0.13937449530822005,0.2338855939576267,0.019070811569690704,0.045225415378808975,0.9112753868103027,0.023676387034356594
phoneme,RandomForest,4863,541,0.13284193009235498,,0.01602783612906933,0.028058789670467377,0.905730128288269,0.023363684071227908
phoneme,XGBoost,4863,541,0.13070036698434423,,0.018569285050034523,0.04762723669409752,0.9112753868103027,0.023157515097409487
pm10,CatBoost,450,50,0.4349872090323602,0.6276800863184281,0.09229709953069687,0.12402606755495071,0.7400000095367432,0.002904681023210287
pm10,ExtraTrees,450,50,0.45267963938490796,0.6451899686744662,0.08344060182571411,0.09407820552587509,0.6399999856948853,0.0029243240132927895
pm10,LightGBM,450,50,0.4250491338462353,0.6170424558874528,0.08668637275695801,0.20604529976844788,0.6600000262260437,0.002883422886952758
pm10,LinearModel,450,50,0.5068136101339874,0.7000641664798115,0.08797109127044678,0.059497587382793427,0.5400000214576721,0.002872057957574725
pm10,NeuralNetFastAI,450,50,0.499375572798383,0.6920332089640013,0.06158806383609772,0.08883482962846756,0.47999998927116394,0.002885248977690935
pm10,NeuralNetTorch,450,50,0.5058736985560476,0.6981565464026812,0.07404804229736328,0.13678176701068878,0.5199999809265137,0.0029073888435959816
pm10,RandomForest,450,50,0.43920458305795107,0.6331240687875334,0.08865363895893097,0.15945181250572205,0.699999988079071,0.002893793163821101
pm10,XGBoost,450,50,0.4654177578759649,0.6601810327178492,0.06280624121427536,0.14209385216236115,0.6200000047683716,0.0028745520394295454
pollen,CatBoost,3463,385,0.4996116209682312,0.6927554036485842,0.025857262313365936,0.0040086074732244015,0.4987013041973114,0.016758442856371403
pollen,ExtraTrees,3463,385,0.5004842384772462,0.6936227833416533,0.036502495408058167,0.011312794871628284,0.4701298773288727,0.016839152900502086
pollen,LightGBM,3463,385,0.5013305125384545,0.6944888511931954,0.042260244488716125,0.011132459156215191,0.5246753096580505,0.016754254931584
pollen,LinearModel,3463,385,0.5002454032889123,0.6933925701780062,0.04050154238939285,0.004746353719383478,0.5038961172103882,0.01683288812637329
pollen,NeuralNetFastAI,3463,385,0.4966978184659384,0.6898443091090706,0.029124870896339417,0.006981572136282921,0.5376623272895813,0.016758262179791927
pollen,NeuralNetTorch,3463,385,0.5026353166463408,0.6957940871118238,0.033572256565093994,0.030127713456749916,0.501298725605011,0.01674291817471385
pollen,RandomForest,3463,385,0.4997551746361348,0.692901851858068,0.03698250651359558,0.0037415772676467896,0.5090909004211426,0.0169070849660784
pollen,XGBoost,3463,385,0.5035083205361726,0.6966682454222319,0.030209951102733612,0.04757548123598099,0.48571428656578064,0.016772485803812742
puma32H,CatBoost,7372,820,0.1321275303518112,,0.011445604264736176,0.03433624282479286,0.9060975313186646,0.035644867923110723
puma32H,ExtraTrees,7372,820,0.1425838236313609,,0.011646512895822525,0.023076174780726433,0.8963414430618286,0.03509091702289879
puma32H,LightGBM,7372,820,0.14368423082503035,,0.009939146228134632,0.030867815017700195,0.8914633989334106,0.03473026095889509
puma32H,LinearModel,7372,820,0.4636536845994618,0.6564872241736011,0.023658424615859985,0.037216916680336,0.6378048658370972,0.03474296000786126
puma32H,NeuralNetFastAI,7372,820,0.10583415329177606,,0.011968903243541718,0.02754042111337185,0.9268292784690857,0.034600872779265046
puma32H,NeuralNetTorch,7372,820,0.11002380979473929,,0.017317431047558784,0.030408315360546112,0.9256097674369812,0.034650687128305435
puma32H,RandomForest,7372,820,0.15024545295752498,,0.012730361893773079,0.037051666527986526,0.8890243768692017,0.0350405799690634
puma32H,XGBoost,7372,820,0.14342808457203157,,0.015255735255777836,0.03416712209582329,0.8951219320297241,0.03471315698698163
puma8NH,CatBoost,7372,820,0.22954723754703918,,0.015738271176815033,0.031327180564403534,0.8365853428840637,0.03443232411518693
puma8NH,ExtraTrees,7372,820,0.22596547648518817,,0.01880064234137535,0.04274866729974747,0.8414633870124817,0.03483502194285393
puma8NH,LightGBM,7372,820,0.23085258902839842,,0.018714938312768936,0.028330976143479347,0.8439024686813354,0.03465772606432438
