dataset,model,cal_size,test_size,Quadratic_brier,Quadratic_logloss,Quadratic_kuiper,Quadratic_ece-15,Quadratic_accuracy,Quadratic_time
Internet-Advertisements,NeuralNetTorch,2951,328,0.05130779860061209,0.12058080685697045,0.011190235614776611,0.028987035155296326,0.9725610017776489,0.007746614050120115
Internet-Advertisements,RandomForest,2951,328,0.04523556286121431,0.0935342776200342,0.021917350590229034,0.039690908044576645,0.9725610017776489,0.01664272602647543
Internet-Advertisements,XGBoost,2951,328,0.050138042762166185,0.10133723953820782,0.011778414249420166,0.021302221342921257,0.9695122241973877,0.006913081975653768
OVA_Colon,CatBoost,1390,155,0.07332253463023472,0.16981252600864477,0.019639302045106888,0.031887199729681015,0.9612902998924255,0.005251224152743816
OVA_Colon,ExtraTrees,1390,155,0.06917766406553169,0.15326669011832805,0.021206365898251534,0.03519807010889053,0.9612902998924255,0.005156526109203696
OVA_Colon,LightGBM,1390,155,0.06389667534844984,0.1516925742569888,0.018091410398483276,0.025200707837939262,0.9677419066429138,0.008773343870416284
OVA_Colon,LinearModel,1390,155,0.06866291332804271,0.1904930493040938,0.016250643879175186,0.029941251501441002,0.9677419066429138,0.011819530045613647
OVA_Colon,NeuralNetFastAI,1390,155,0.08407786640166563,0.19134371466329272,0.02811313234269619,0.04436388239264488,0.948387086391449,0.006640587002038956
OVA_Colon,NeuralNetTorch,1390,155,0.0694690660018222,0.16058110923967014,0.02052682638168335,0.037471704185009,0.9677419066429138,0.00560418120585382
OVA_Colon,RandomForest,1390,155,0.08059084286883167,0.17656747302655607,0.019153863191604614,0.044339440762996674,0.948387086391449,0.007757716113701463
