dataset,model,cal_size,test_size,n_classes,CatBoost_brier,CatBoost_logloss,CatBoost_ece-15,CatBoost_accuracy,CatBoost_time
eye_movements,CatBoost,9842,1094,3,0.35121325816279464,0.5948133421767399,0.029985375702381134,0.7340036630630493,2.1443214509636164
eye_movements,ExtraTrees,9842,1094,3,0.3164277578505805,0.5402565516772605,0.02594410628080368,0.7723948955535889,2.0732837999239564
eye_movements,LightGBM,9842,1094,3,0.27795931068792906,0.48347513090254673,0.03848904371261597,0.808043897151947,1.925845633028075
eye_movements,LinearModel,9842,1094,3,0.5640260806800489,0.9184968349380608,0.01699855923652649,0.5127970576286316,1.7609040879178792
eye_movements,NeuralNetFastAI,9842,1094,3,0.4317473706708057,0.7185029072819085,0.04313279315829277,0.67641681432724,1.7021990329958498
eye_movements,NeuralNetTorch,9842,1094,3,0.41387333748715915,0.6916228214673575,0.052562497556209564,0.6928701996803284,1.6081963130272925
eye_movements,RandomForest,9842,1094,3,0.37801168480185926,0.6400168977233395,0.020228847861289978,0.7230347394943237,1.630284999962896
eye_movements,XGBoost,9842,1094,3,0.3199477304005388,0.5473921590872302,0.029089514166116714,0.7659963369369507,2.034184731077403
fabert,CatBoost,7413,824,7,0.34570279054147246,0.684523619795981,0.04486899450421333,0.7305825352668762,4.721369459060952
fabert,ExtraTrees,7413,824,7,0.3655286596807672,0.7169790338048903,0.04682160168886185,0.7160193920135498,4.573448271956295
fabert,LightGBM,7413,824,7,0.35233727339159565,0.6911481412786226,0.040041495114564896,0.7208737730979919,5.095942014129832
fabert,LinearModel,7413,824,7,0.46798377299641636,0.9569239971182315,0.05811767280101776,0.6322815418243408,4.293765485985205
fabert,NeuralNetFastAI,7413,824,7,0.3827972643034709,0.770691667997436,0.02723551169037819,0.7111650705337524,4.799409162951633
fabert,NeuralNetTorch,7413,824,7,0.4123889654538533,0.8330168409658029,0.06354006379842758,0.7002426981925964,4.698277018032968
fabert,RandomForest,7413,824,7,0.37913954944921596,0.7564032999900031,0.031482599675655365,0.7050970792770386,4.470362048828974
