dataset,model,cal_size,test_size,n_classes,VS_brier,VS_logloss,VS_ece-15,VS_accuracy,VS_time
dilbert,LightGBM,9000,1000,5,0.010828321799635887,0.02619125321507454,0.006368320435285568,0.9940000176429749,0.06406022910960019
dilbert,LinearModel,9000,1000,5,0.09083422273397446,0.16561277210712433,0.02310088835656643,0.9380000233650208,0.05275658518075943
dilbert,NeuralNetFastAI,9000,1000,5,0.019302984699606895,0.03768712282180786,0.008897494524717331,0.9890000224113464,0.05589024000801146
dilbert,NeuralNetTorch,9000,1000,5,0.013180270791053772,0.028588922694325447,0.01193799078464508,0.9919999837875366,0.038918096106499434
dilbert,RandomForest,9000,1000,5,0.06506405025720596,0.12404719740152359,0.015370292589068413,0.9570000171661377,0.11612707492895424
dilbert,XGBoost,9000,1000,5,0.020302625373005867,0.04210669919848442,0.008459723554551601,0.9850000143051147,0.04765811003744602
dna,CatBoost,2867,319,3,0.06354214251041412,0.12348964065313339,0.01871074177324772,0.9592476487159729,0.019193825079128146
dna,ExtraTrees,2867,319,3,0.08253656327724457,0.16209231317043304,0.03618646785616875,0.9404388666152954,0.0220366430003196
dna,LightGBM,2867,319,3,0.06238247826695442,0.11793126165866852,0.021857639774680138,0.962382435798645,0.015753481071442366
dna,LinearModel,2867,319,3,0.12283094227313995,0.2270963191986084,0.03225332126021385,0.9278996586799622,0.017903456930071115
dna,NeuralNetFastAI,2867,319,3,0.08187911659479141,0.15823259949684143,0.029773546382784843,0.9467084407806396,0.018139230087399483
dna,NeuralNetTorch,2867,319,3,0.08087220788002014,0.15605783462524414,0.019235845655202866,0.9498432874679565,0.012523720040917397
dna,RandomForest,2867,319,3,0.09172753244638443,0.17154842615127563,0.01340854074805975,0.9404388666152954,0.019946442916989326
dna,XGBoost,2867,319,3,0.06202336773276329,0.12195751816034317,0.024513818323612213,0.9592476487159729,0.016589733073487878
eucalyptus,CatBoost,662,74,5,0.40911319851875305,0.6863207817077637,0.08411037921905518,0.6891891956329346,0.021827240008860826
eucalyptus,ExtraTrees,662,74,5,0.3744507431983948,0.6408417224884033,0.09499731659889221,0.6891891956329346,0.01797875016927719
eucalyptus,LightGBM,662,74,5,0.3623256981372833,0.6308497190475464,0.09940065443515778,0.6891891956329346,0.013444479089230299
eucalyptus,LinearModel,662,74,5,0.4416700303554535,0.7485495805740356,0.11292998492717743,0.6486486196517944,0.013271695002913475
eucalyptus,NeuralNetFastAI,662,74,5,0.39783647656440735,0.6370386481285095,0.12520653009414673,0.6756756901741028,0.016167060006409883
eucalyptus,NeuralNetTorch,662,74,5,0.42572683095932007,0.6685134172439575,0.07727004587650299,0.662162184715271,0.013763418886810541
eucalyptus,RandomForest,662,74,5,0.4032413363456726,0.6881494522094727,0.07455192506313324,0.662162184715271,0.016135555924847722
